"","ISO.3166.1.country.code","FIPS.5.2.subdivision.code","GNS.FD","GNS.UFI","ISO.639.1.language.code","language.script","name","latitude","longitude"
"5121","BE","11","ADM4",-1954154,"nld","latin","Sint-Agatha-Berchem","50.864567","4.293871"
"252117","US","45","PPL",NA,"en","english","Brockington Heights","34.2912649","-79.8833963"
"61423","ID","30","PPLA4",-2675896,"ind","latin","Cinta","-7.1564","108.0558"
"63350","ID","7","ADM4",11301054,"ind","latin","Ketitang Wetan","-6.7004","111.1902"
"239107","US","42","PPL",NA,"en","english","Knobsville","40.0075874","-77.9627785"
"94491","NG","","PPL",-2024709,"en","latin","Bakorgel","8.783333","12.166667"
"275822","US","51","PPL",NA,"en","english","Montezuma","38.4092921","-78.9880854"
"116697","TR","80","PPLA2",-774381,"tr","latin","Uludere","37.445","42.861667"
"76835","KP","13","PPL",-184048,"ko","latin","Samjiyŏn","41.803565","128.318862"
"51597","ID","8","PPLA4",11383630,"ind","latin","Krajan Lor Gumelar","-8.2546","113.5515"
"147742","US","12","PPL",NA,"en","english","Saint Marks","30.1610379","-84.2062825"
"189242","US","24","PPL",NA,"en","english","Glen Brook","39.2764948","-76.8485858"
"165730","US","17","PPL",NA,"en","english","Toluca","41.0022556","-89.133416"
"233810","US","40","PPL",NA,"en","english","Humphreys","34.5559074","-99.2373065"
"42383","ID","7","ADM4",6347523,"ind","latin","Twelagiri","-7.4225","109.685"
"136478","US","4","PPL",NA,"en","english","Leisure World","33.401159","-111.6898586"
"205597","US","28","PPL",NA,"en","english","Meadville","31.4723928","-90.8967682"
"260215","US","47","PPL",NA,"en","english","Mobra","35.881733","-85.2599676"
"228338","US","39","PPL",NA,"en","english","Bunker Hill","40.9592252","-80.9356437"
"210888","US","37","PPL",NA,"en","english","North Harlowe","34.8604386","-76.7718792"
"79405","LR","11","PPL",-2132354,"en","latin","Dababli","5.716667","-9.633333"
"42250","ID","7","ADM3",6355445,"ind","latin","Punggelan","-7.335556","109.601944"
"213090","US","37","PPL",NA,"en","english","Webb","36.0431677","-82.2812415"
"50708","ID","7","PPLA4",-2688343,"ind","latin","Mrayun","-6.8762","111.5877"
"36754","GT","17","ADM2",-1141661,"es","latin","San Miguel Ixtahuacán","15.25","-91.75"
"208523","US","37","PPL",NA,"en","english","Zephyr","36.3676332","-80.814237"
"111098","TH","60","ADM2",-3248680,"tha","latin","Kanchanadit","9.072562","99.543899"
"167091","US","17","PPL",NA,"en","english","French Village","38.6003279","-90.0501062"
"132182","US","5","PPL",NA,"en","english","Four Forks","35.062313","-91.2390147"
"10814","CA","10","PPL",-560993,"en","english","Payne Bay","60.016667","-70.033333"
"10513","CA","5","PPL",-572268,"en","english","Bigolet","54.166667","-58.433333"
"167446","US","17","PPL",NA,"en","english","Canal Trustees","41.9003106","-87.6250528"
"115660","TR","62","ADM2",11848438,"tur","latin","Ovacık","39.368334","39.214733"
"257782","US","47","PPL",NA,"en","english","Clarkrange","36.1834013","-85.0174564"
"69403","ID","7","ADM4",11046594,"ind","latin","Gintungreja","-7.5829","108.8554"
"244296","US","42","PPL",NA,"en","english","Hess Island","41.06564","-76.1868768"
"221725","US","36","PPL",NA,"en","english","Brighton","42.8678498","-75.0287683"
"168224","US","17","PPL",NA,"en","english","Woodleaf","41.7066667","-88.1166667"
"204559","US","28","PPL",NA,"en","english","Sherwood Forest","32.3579224","-90.1228641"
"205881","US","28","PPL",NA,"en","english","Mill Creek Corners","32.3626444","-90.0120278"
"197413","US","27","PPL",NA,"en","english","Wolford","46.5455182","-93.979149"
"221216","US","32","PPL",NA,"en","english","Holbrook Junction","38.7337959","-119.554891"
"237283","US","42","PPL",NA,"en","english","Caln","39.9909398","-75.7802235"
"246140","US","42","PPL",NA,"en","english","Hyndman","39.8231399","-78.718074"
"134497","US","5","PPL",NA,"en","english","Sugar Grove","35.0820372","-93.8013099"
"89264","NG","5","PPL",-2024083,"en","latin","Ajebandele","6.60758","3.873131"
"174330","US","21","PPL",NA,"en","english","Lovely","37.8259301","-82.4012574"
"243698","US","42","PPL",NA,"en","english","Burholme","40.0612223","-75.0832287"
"214081","US","38","PPL",NA,"en","english","Mapes","48.0311085","-98.2273245"
"200335","US","29","PPL",NA,"en","english","Excello","39.636145","-92.4754625"
"6734","KH","24","PPL",-1031148,"km","latin","Phumĭ Thmei","13.284964","104.096029"
"276549","US","51","PPL",NA,"en","english","Nuckols","37.5940361","-78.3213888"
"286302","US","55","PPL",NA,"en","english","Peebles","43.8163787","-88.3764942"
"218930","US","34","PPL",NA,"en","english","Sky View Manor","39.9778956","-74.1454173"
"120069","GB","Q9","PPLA",-2589101,"en","latin","Ballymena","54.866667","-6.266667"
"61009","ID","30","ADM4",11163566,"ind","latin","Caringin","-7.4612","107.5102"
"164435","US","17","PPL",NA,"en","english","Fayette","39.3200466","-90.1537229"
"12572","EC","10","PPL",-928461,"es","latin","Muñoz","-2.2","-80.183333"
"273006","US","49","PPL",NA,"en","english","Monarch Hills","40.8502232","-111.8935487"
"161102","US","19","PPL",NA,"en","english","Larrabee","42.8608139","-95.5452848"
"116536","TR","3","ADM2",11849469,"tur","latin","Sincanlı","38.753852","30.246621"
"262572","US","48","PPL",NA,"en","english","Axtell","31.6582205","-96.9713851"
"14725","ET","53","ADM1",9087455,"amh","latin","Tigray","14.166667","38.833333"
"258004","US","47","PPL",NA,"en","english","Bayview","35.8570299","-83.8123993"
"248880","US","72","PPL",NA,"es","latin","Sandy Hills","18.374673","-65.7132178"
"106152","SD","49","PPL",-3058,"en","latin","Aţ Ţābah","10.995382","24.277662"
"234871","US","40","PPL",NA,"en","english","Parkersburg","35.4925498","-99.023697"
"175881","US","21","PPL",NA,"en","english","Hallam","38.502568","-84.7896694"
"267583","US","48","PPL",NA,"en","english","West Odessa","31.8423472","-102.498757"
"23541","FR","A3","PPL",-1432373,"fr","latin","Huisseau","47.593347","1.453326"
"23894","FR","B5","PPL",-1454940,"fr","latin","Neuvy","48.080626","-.039011"
"231710","US","39","PPL",NA,"en","english","Mingo","40.2081127","-83.6382622"
"98728","PT","21","PPLA2",-2160125,"pt","latin","Boticas","41.689874","-7.665938"
"68124","ID","7","ADM4",10225105,"ind","latin","Pekiringanageng","-7.0626","109.5796"
"115786","TR","58","ADM2",11848548,"tur","latin","Kangal","39.243241","37.39731"
"80310","LR","13","PPL",-2135639,"en","latin","Watheke","4.478333","-7.691667"
"58101","ID","7","ADM4",10197313,"ind","latin","Penusupan","-6.9996","109.1528"
"240043","US","42","PPL",NA,"en","english","North Bessemer","40.4934014","-79.7972702"
"221715","US","36","PPL",NA,"en","english","Brentwood","40.7812093","-73.2462273"
"129958","US","1","PPL",NA,"en","english","Powells Crossroads","34.5339751","-85.8885846"
"151056","US","12","PPL",NA,"en","english","Hamton","27.693","-82.4447"
"38799","ID","30","ADM4",6377692,"ind","latin","Kaliwedi Lor","-6.589722","108.381944"
"263405","US","48","PPL",NA,"en","english","Reno","33.6631622","-95.4624548"
"121748","YE","22","PPLA2",-3191776,"ara","arabic","شرس","15.712331","43.649252"
"279225","US","51","PPL",NA,"en","english","Dover Run","37.6382019","-77.7211038"
"269617","US","48","PPL",NA,"en","english","Union High","31.8437723","-96.5969308"
"191771","US","23","PPL",NA,"en","english","Lunts Corner","43.6859147","-70.268382"
"232646","US","39","PPL",NA,"en","english","Kanauga","38.8423029","-82.1470893"
"47726","ID","2","ADM4",10537294,"ind","latin","Mas","-8.5418","115.2704"
"205989","US","28","PPL",NA,"en","english","Riggins","34.0506615","-88.2528178"
"257080","US","47","PPL",NA,"en","english","Parkway Village","35.064258","-89.9061994"
"10351","CA","10","PPL",-572815,"en","english","Saint Felecian","48.65","-72.45"
"171871","US","20","PPL",NA,"en","english","Hunnewell","37.0050268","-97.4047679"
"102766","ZA","5","ADM3",11845911,"en|af","latin","Baviaans","-33.301157","23.819386"
"156805","US","13","PPL",NA,"en","english","Riverside","34.2834261","-85.1607836"
"121531","YE","22","PPLA2",-3184520,"ara","arabic","الشغادرة","15.62","43.520556"
"130953","US","1","PPL",NA,"en","english","Cloverdale","33.3895547","-86.9558258"
"28531","GH","","PPL",-2078846,"en","latin","Sogbe","5.949974",".799294"
"215290","US","31","PPL",NA,"en","english","West Lincoln","40.8377796","-96.731128"
"184492","US","24","PPL",NA,"en","english","Baldwin","39.4948291","-76.470242"
"81013","LR","15","PPL",-2130674,"en","latin","Bou","6.65","-10.8425"
"210084","US","37","PPL",NA,"en","english","Statewood","35.1829225","-80.749514"
"2258","AR","15","PPLA2",-1019785,"es","latin","Zapala","-38.899164","-70.054423"
"25293","FR","B9","PPL",-1411684,"fr","latin","Belleville","46.107457","4.738127"
"94242","NG","","PPL",-2012494,"en","latin","Iresa","8.083333","4.4"
"114496","TH","56","ADM2",-3237984,"tha","latin","Ban Laem","13.169678","99.987715"
"113437","TH","40","PPLA2",-3252818,"tha","english","ภาษีเจริญ","13.714655","100.436907"
"152556","US","12","PPL",NA,"en","english","Terrace River","28.0211","-82.3739"
"22605","FR","B1","PPL",-1409761,"fr","latin","Azat","46.076482","1.759975"
"187160","US","24","PPL",NA,"en","english","Sandtop","38.6078942","-75.9027137"
"178041","US","22","PPL",NA,"en","english","Attakapas Canal","29.8918702","-91.0912117"
"92052","NG","32","PPL",-2019874,"en","latin","Mawniya","7.528333","3.911944"
"34250","GH","","PPL",-2076267,"en","latin","Emonsie","6.48544","-.60522"
"277138","US","51","PPL",NA,"en","english","Massaponax","38.2398517","-77.436095"
"198731","US","29","PPL",NA,"en","english","Emma","38.9716845","-93.4946554"
"280693","US","51","PPL",NA,"en","english","Haver Hills","38.9639992","-77.280538"
"33501","GH","","PPL",-2079292,"en","latin","Tapala","10.983333","-1.983333"
"256507","US","47","PPL",NA,"en","english","Howard Hill","36.5562114","-82.5837642"
"209436","US","37","PPL",NA,"en","english","Wootens Crossroads","35.3654404","-77.6066374"
"284966","US","53","PPL",NA,"en","english","Taholah","47.3473047","-124.29324"
"15951","FI","28","ADM2",-1392149,"fin","latin","Virrat","62.274109","23.686976"
"236151","US","41","PPL",NA,"en","english","Disston","43.6981784","-122.7700621"
"131063","US","1","PPL",NA,"en","english","Southern Acres","33.6373247","-86.5758194"
"278153","US","51","PPL",NA,"en","english","Blackberry","36.7168036","-80.0386553"
"27639","DE","2","PPL",-1823019,"de","latin","Mantlach","49.132495","11.77212"
"116656","TR","65","PPLA3",-749410,"tur","latin","Timar","38.834035","43.441654"
"58933","ID","30","ADM4",10215114,"ind","latin","Wanayasa","-6.8495","108.5132"
"90810","NG","29","PPL",-2029603,"en","latin","Ungwan Kuka","11.55649","8.998571"
"264378","US","48","PPL",NA,"en","english","Fairview","32.5148588","-97.8016972"
"92813","NG","","PPL",-2030737,"en","latin","Watta","8.616667","8.4"
"269111","US","48","PPL",NA,"en","english","Village Grove Number 2 Colonia","26.1722969","-98.0822288"
"154356","US","13","PPL",NA,"en","english","Kelly","33.4404026","-83.6193396"
"125742","US","1","PPL",NA,"en","english","Broomtown","34.3606453","-85.5216276"
"131390","US","5","PPL",NA,"en","english","Perry","35.0475869","-92.7940557"
"96701","PK","3","ADM2",10740304,"eng","latin","Shāngla","34.685156","72.701385"
"185233","US","24","PPL",NA,"en","english","Ivory Mill","39.6742713","-76.5363554"
"10832","CA","10","PPL",-572723,"en","english","Grondines","46.599716","-72.032996"
"166840","US","17","PPL",NA,"en","english","Tonti","38.6647708","-88.9783937"
"41279","ID","30","ADM4",6413472,"ind","latin","Karangpakuan","-6.890833","108.059444"
"82751","LU","3","PPLA3",-1736451,"lb","latin","Steinfort","49.661389","5.919167"
"277107","US","51","PPL",NA,"en","english","Longbottom","37.2817775","-82.0854104"
"51530","ID","7","PPLA4",11311737,"ind","latin","Pesucen","-6.8541","111.4826"
"159956","US","15","PPL",NA,"en","english","Captain Cook","19.4969444","-155.9216667"
"195756","US","26","PPL",NA,"en","english","Groos","45.811633","-87.1031923"
"250241","US","45","PPL",NA,"en","english","Shamokin","34.3257068","-80.6031332"
"26588","GM","7","PPL",-1200309,"en","latin","Ker Biram Yasin","13.583333","-16"
"90241","NG","","PPL",-2011361,"en","latin","Ijayie","6.55","2.833333"
"144881","US","9","PPL",NA,"en","english","Silver Falls","41.412598","-72.2200795"
"221626","US","36","PPL",NA,"en","english","Big Tree","42.7697813","-78.8114211"
"264736","US","48","PPL",NA,"en","english","Marystown","32.4598627","-97.3200155"
"197925","US","27","PPL",NA,"en","english","Bovey","47.2954963","-93.4188185"
"132903","US","5","PPL",NA,"en","english","Westover","35.5211931","-90.2134285"
"61474","ID","30","PPLA3",-2675582,"ind","latin","Cikatomas","-7.6209","108.2583"
"210498","US","37","PPL",NA,"en","english","Dellaplane","36.1831885","-81.0289675"
"272935","US","49","PPL",NA,"en","english","Loma Linda","41.319664","-111.9577198"
"250267","US","45","PPL",NA,"en","english","Star Bluff Crossroads","33.8562832","-78.7575194"
"198345","US","27","PPL",NA,"en","english","Woodhaven Manufactured Home Community","45.3936111","-93.3708333"
"45167","ID","8","ADM4",10280798,"ind","latin","Padas","-7.4385","111.5324"
"6186","BG","38","ADM2",-837807,"bg","latin","Razlog","41.95","23.466667"
"180009","US","22","PPL",NA,"en","english","Mechanicville","29.5768814","-90.6862007"
"238788","US","42","PPL",NA,"en","english","Holt","40.6228439","-80.3695082"
"81433","LR","12","PPL",-2135264,"en","latin","Teh","6.696944","-11.105833"
"39192","ID","30","ADM4",6379305,"ind","latin","Ujungpendok Jaya","-6.443611","108.277778"
"232758","US","39","PPL",NA,"en","english","Rosseau","39.5736818","-81.9468062"
"51068","ID","30","PPLA4",11197483,"ind","latin","Talagasari","-7.4205","107.9231"
"26670","GM","2","PPL",-1201253,"en","latin","Sare Mamoudou","13.366667","-15.716667"
"286159","US","55","PPL",NA,"en","english","Nabob","43.4202772","-88.2709291"
"172793","US","20","PPL",NA,"en","english","Lenexa","38.9536174","-94.7335709"
"76731","KP","15","PPL",-185810,"ko","latin","Sinyang","39.278056","126.453889"
"257875","US","47","PPL",NA,"en","english","Sawdust","35.6681265","-87.1900087"
"85820","FM","2","PPLC",-3740223,"en","latin","Pallikir","6.916667","158.15"
"80045","LR","1","PPL",-2132723,"en","latin","Jota","6.666667","-9.383333"
"203690","US","28","PPL",NA,"en","english","Ora","31.657665","-89.5745137"
"15016","FJ","1","PPL",-1191017,"en","latin","Nandakura","-17.966667","178.3"
"110797","TH","46","ADM2",10847185,"tha","latin","Ko Chan","13.402528","101.388"
"180481","US","22","PPL",NA,"en","english","Sunny Hill","30.9243478","-90.3273138"
"107927","SE","28","ADM2",-2488310,"sv","latin","Herrljunga","58.033333","13.116667"
"137992","US","6","PPL",NA,"en","english","Cambria","35.5641381","-121.0807468"
"210043","US","37","PPL",NA,"en","english","Country Lane","36.4629157","-79.7330898"
"64829","ID","37","ADM3",11820191,"ind","latin","Kubu","1.8554","100.5247"
"166127","US","17","PPL",NA,"en","english","Blodgett","41.3775312","-88.1900603"
"37440","IN","32","ADM1",-2096382,"en|hi","latin","Damān and Diu","20.4","72.87"
"107170","SD","38","PPL",-14348,"en","latin","Shukriya","14.5015","32.6642"
"65085","ID","8","ADM4",10681507,"ind","latin","Citrodiwangsan","-8.1316","113.2136"
"186931","US","24","PPL",NA,"en","english","Scotland","38.0890152","-76.3618926"
"172837","US","20","PPL",NA,"en","english","Quenemo","38.5797331","-95.5269256"
"174680","US","21","PPL",NA,"en","english","Rich Pond","36.8942077","-86.5094376"
"212454","US","37","PPL",NA,"en","english","Old Cumbee Place","34.1587812","-78.2194428"
"153593","US","13","PPL",NA,"en","english","Flippen","33.4831686","-84.1874186"
"118866","GB","V3","ADM2",-2599539,"en","latin","Inverness County","57.083333","-4.666667"
"145857","US","10","PPL",NA,"en","english","Coverdale Crossroads","38.7103917","-75.5310353"
"59147","ID","30","ADM4",10216006,"ind","latin","Karangmekar","-6.831","108.6564"
"98611","PT","11","PPLA2",-2168661,"pt","latin","Manteigas","40.402799","-7.539769"
"168344","US","18","PPL",NA,"en","english","Adyeville","38.1908898","-86.7694347"
"2043","AR","19","ADM2",-981441,"es","latin","Chacabuco","-32.75","-65.25"
"150129","US","12","PPL",NA,"en","english","Daneli","28.0712","-82.4707"
"189553","US","24","PPL",NA,"en","english","Water Oak Point","39.1506648","-76.5105177"
"116148","TR","11","PPLA2",-750521,"tur","latin","Gölpazarı","40.284722","30.317222"
"100182","RS","97","ADM1",-93336,"srp","latin","Prokuplje","43.197859","21.503475"
"174370","US","21","PPL",NA,"en","english","Mays Store","37.0297662","-87.1208315"
"253643","US","45","PPL",NA,"en","english","Montgomery Acres","34.9476244","-81.882881"
"31812","GH","","PPL",-2073451,"en","latin","Kolokwati","6.995972",".436218"
"286890","US","55","PPL",NA,"en","english","Buckhorn Corner","43.5083244","-88.8059399"
"244727","US","42","PPL",NA,"en","english","Mount Laffee","40.7170338","-76.2285562"
"117706","UG","E3","ADM3",11877738,"en|sw","latin","Lokole","2.868565","33.343745"
"72577","ID","26","ADM3",11864246,"ind","latin","Tiga Lingga","2.8595","98.3632"
"75292","JP","34","ADM2",-240226,"jpn","english","オケガワ","36.003026","139.549994"
"291243","US","54","PPL",NA,"en","english","Enslow Park Place","38.40425","-82.433209"
"25034","FR","B7","PPL",-1436040,"fr","latin","La Forêt","46.769046","-.649643"
"214458","US","38","PPL",NA,"en","english","Lemert","47.5097213","-99.2640044"
"20437","FR","A9","PPL",-1464118,"fr","latin","Saint-Bonnet","44.513374","3.2826"
"245349","US","42","PPL",NA,"en","english","Unity Junction","40.4981237","-79.785881"
"187250","US","24","PPL",NA,"en","english","Brown","38.8528909","-76.8021924"
"240175","US","42","PPL",NA,"en","english","Orwigsburg","40.654813","-76.1007713"
"159779","US","13","PPL",NA,"en","english","Brogdon","33.5309461","-84.5129841"
"173774","US","21","PPL",NA,"en","english","Crestwood","38.0097999","-84.5110499"
"209033","US","37","PPL",NA,"en","english","Foxcroft","35.8251511","-78.5494462"
"244574","US","42","PPL",NA,"en","english","Lovell","41.9061669","-79.7022734"
"244705","US","42","PPL",NA,"en","english","Monterey","40.5384281","-75.7249143"
"268057","US","48","PPL",NA,"en","english","Barrios Colonia","25.945358","-97.4091475"
"15975","FR","97","PPL",-1466551,"fr","latin","Saint-Laurent","44.883333","-.133333"
"7524","CM","9","PPL",-3145026,"en","english","Aiyundep","5.6423","9.1455"
"220667","US","35","PPL",NA,"en","english","San Pedro Overlook","35.2236536","-106.2789133"
"218022","US","34","PPL",NA,"en","english","Princeton Junction","40.3173301","-74.6198791"
"90897","NG","21","PPL",-2011859,"en","latin","Ikot Okure","4.939764","7.957059"
"214963","US","31","PPL",NA,"en","english","Lewellen","41.3313749","-102.1437951"
"260819","US","47","PPL",NA,"en","english","Boone Trail","36.372327","-82.406809"
"88978","NI","15","ADM1",-1113982,"es","latin","Rivas","11.3","-85.75"
"276861","US","51","PPL",NA,"en","english","Fairview Farms","37.0476461","-76.3513332"
"286149","US","55","PPL",NA,"en","english","Mount Ida","42.9719319","-90.76096"
"214734","US","31","PPL",NA,"en","english","Clarkson","41.7266741","-97.12226"
"203323","US","28","PPL",NA,"en","english","Four Mile","33.2873447","-90.4723104"
"230700","US","39","PPL",NA,"en","english","Klocks Crossing","39.2567288","-83.8374268"
"138418","US","6","PPL",NA,"en","english","Lower Town","38.367417","-119.1198712"
"254585","US","46","PPL",NA,"en","english","Morningside","44.3658167","-98.1884235"
"229187","US","39","PPL",NA,"en","english","Hazelton","40.4953424","-81.2303837"
"146086","US","10","PPL",NA,"en","english","Savannah Place","38.764001","-75.1612953"
"192702","US","23","PPL",NA,"en","english","Greenlaw Crossing","46.661708","-68.6281007"
"36128","GR","63","ADM2",11399084,"ell","latin","Tanágra","38.278344","23.537483"
"60607","ID","30","ADM4",11148034,"ind","latin","Karangsari","-7.5088","107.7244"
"87332","MA","46","ADM1",-32913,"ar","latin","Fès-Boulemane","33.333333","-4.25"
"603","AF","17","PPLA2",-3381457,"ps","latin","Khōshī","33.999159","69.215824"
"78067","LA","17","PPL",-2662274,"lo","latin","Ban Sing","19.831701","102.011313"
"230957","US","39","PPL",NA,"en","english","Yankee Crossing","40.9228365","-80.9073087"
"289460","US","54","PPL",NA,"en","english","Curtin","38.4745537","-80.3625799"
"167224","US","17","PPL",NA,"en","english","The Hall","37.5233839","-89.0981327"
"186739","US","24","PPL",NA,"en","english","Woodward","39.4331617","-76.6724714"
"27190","GE","","PPLA",-2327557,"ka","latin","Java","42.399722","43.936667"
"106568","SD","56","PPL",-2243,"en","latin","Al Odayya","12.05","28.283333"
"156452","US","13","PPL",NA,"en","english","Petersburg Station","33.5320797","-82.0970628"
"125659","US","1","PPL",NA,"en","english","Bethel","34.9331419","-86.8197239"
"216183","US","33","PPL",NA,"en","english","South Hampton","42.8809229","-70.9625559"
"123968","ZM","3","PPL",-2278681,"en","latin","Chamota","-14.2","31.516667"
"166052","US","17","PPL",NA,"en","english","Aladdin","39.7164347","-91.3232025"
"124333","ZM","8","PPL",-2292184,"en","latin","Lwandomina","-13.235144","28.497602"
"67675","ID","18","PPLA4",10790421,"ind","latin","Praimutung","-9.7232","119.4562"
"73337","IT","4","ADM2",-110908,"it","latin","Avellino","40.983333","15.15"
"99366","RU","5","PPLA",-2886873,"rus","cyrillic","Благовещенск","50.279614","127.540505"
"127416","US","1","PPL",NA,"en","english","Union","33.4195572","-85.4880092"
"135233","US","4","PPL",NA,"en","english","Willcox","32.2528519","-109.8320124"
"92444","NG","","PPL",-2020440,"en","latin","Gududzuru","9.5","6.116667"
"239518","US","42","PPL",NA,"en","english","Marple","39.9776109","-75.378526"
"111968","TH","24","ADM2",-3246551,"tha","english","บรบือ","15.988807","103.125206"
"151332","US","12","PPL",NA,"en","english","Kirkland Acres","28.1195","-82.5281"
"189201","US","24","PPL",NA,"en","english","Autumn Hill","39.2573284","-76.8116402"
"192236","US","23","PPL",NA,"en","english","State Road","46.7311528","-68.1522557"
"115690","TR","77","ADM2",11848476,"tur","latin","Demirözü","40.171482","39.897006"
"192144","US","23","PPL",NA,"en","english","Skillings Corner","44.1989598","-70.273389"
"20077","FR","A3","PPL",-1465342,"fr","latin","Saint-Firmin","47.965165","2.911882"
"133743","US","5","PPL",NA,"en","english","Potter Junction","34.5506619","-94.306046"
"129967","US","1","PPL",NA,"en","english","Priceville","34.5250932","-86.8947271"
"208038","US","37","PPL",NA,"en","english","Midway","35.9073547","-81.1186921"
"13824","EC","7","PPL",-928641,"es","latin","Río Blanco","-.733333","-78.616667"
"238196","US","42","PPL",NA,"en","english","Fiedler","40.9047921","-77.3908191"
"250414","US","45","PPL",NA,"en","english","Owens","33.6935004","-79.3850542"
"133215","US","5","PPL",NA,"en","english","Glendale","35.1492604","-94.0024266"
"150507","US","12","PPL",NA,"en","english","Carmans Casa del Rio","27.8654","-82.3174"
"43798","ID","8","ADM4",10286528,"ind","latin","Bulusari","-7.7479","111.9386"
"145943","US","10","PPL",NA,"en","english","Morris Mill","38.6390022","-75.3168584"
"1157","AO","15","ADM2",-2867580,"pt","latin","Maquela do Zombo","-6.166667","15.5"
"103532","SS","8","PPL",-1891,"en","latin","‘Alīyāb","7.469203","29.102633"
"39324","ID","7","ADM4",6362693,"ind","latin","Canduk","-7.485","109.015833"
"243101","US","42","PPL",NA,"en","english","Oneida","40.9217306","-79.8797761"
"155141","US","13","PPL",NA,"en","english","Jinks","30.7165803","-84.823809"
"252159","US","45","PPL",NA,"en","english","Brick Yard Trace","33.0254484","-80.1609251"
"70794","ID","30","ADM4",11258473,"ind","latin","Karangmulya","-7.1858","108.1631"
"82720","LU","2","PPLA3",-1735769,"lb","latin","Bous","49.553889","6.329167"
"145059","US","11","PPL",NA,"en","english","Adams Morgan","38.9215002","-77.0421992"
"202064","US","29","PPL",NA,"en","english","Hams Prairie","38.767264","-91.91907"
"36721","GT","8","ADM2",-1136938,"es","latin","La Libertad","15.5","-91.833333"
"61728","ID","8","PPLA4",11327494,"ind","latin","Kanugrahan","-6.992","112.2987"
"79621","LR","11","PPL",-2131096,"en","latin","Diada","5.709722","-9.871667"
"54739","ID","8","ADM4",6385528,"ind","latin","Bulugunung","-7.693889","111.258611"
"255114","US","46","PPL",NA,"en","english","Artesian","44.0091465","-97.9209135"
"243626","US","42","PPL",NA,"en","english","Blanco","40.7767312","-79.3542076"
"262199","US","48","PPL",NA,"en","english","Port Aransas","27.8339158","-97.0610994"
"238043","US","42","PPL",NA,"en","english","Elstie","40.5200696","-78.5316827"
"89862","NG","48","PPL",-2012641,"en","latin","Nse","7.511741","5.917453"
"19029","FR","A9","PPL",-1464822,"fr","latin","Sainte-Croix","44.179709","3.741643"
"28375","DE","2","PPLA3",-1767100,"de","latin","Erlangen","49.595606","10.994974"
"79712","LR","12","PPL",-2131089,"en","latin","Dijah","6.878333","-11.348333"
"107777","SE","27","ADM2",-2536790,"sv","latin","Ystad","55.433333","13.85"
"165795","US","17","PPL",NA,"en","english","Villa Grove","39.8628101","-88.1622654"
"161627","US","19","PPL",NA,"en","english","Stanhope","42.2888675","-93.7960553"
"26869","GM","3","PPL",-1199399,"en","latin","Balangar","13.666667","-15.366667"
"20170","FR","A6","PPL",-1418570,"fr","latin","Chapelle","46.598082","6.114715"
"33438","GH","","PPL",-2076821,"en","latin","Nkuntrodo","5.116667","-1.333333"
"17136","FR","B7","PPL",-1424223,"fr","latin","Dompierre","45.701534","-.491509"
"65340","ID","7","ADM4",6396702,"ind","latin","Sidodadi","-7.66","109.903889"
"117928","UA","11","PPLA",-1054041,"uk","latin","Simferopol’","44.957186","34.110787"
"34696","GH","","PPL",-2073855,"en","latin","Jamprunsi","10.151476","-.31337"
"38950","ID","7","ADM4",6364289,"ind","latin","Karangnangka","-7.371944","109.216944"
"213471","US","37","PPL",NA,"en","english","Mount Gould","36.1196027","-76.7630045"
"200438","US","29","PPL",NA,"en","english","Germania","40.4291985","-92.4793553"
"207746","US","37","PPL",NA,"en","english","Fountain Hill","35.409885","-77.5008"
"109006","SY","9","ADM2",-2537876,"ara","arabic","الباب","36.309459","37.532774"
"63415","ID","7","PPLA4",11301190,"ind","latin","Tluwah","-6.7309","111.1439"
"55736","ID","7","ADM4",10157435,"ind","latin","Wonoketingal","-6.8568","110.7617"
"68683","ID","18","PPLA4",-2703049,"ind","latin","Wera","-8.34","120.72"
"28532","GH","","PPL",-2078823,"en","latin","Sokraji","5.868025",".776334"
"222262","US","36","PPL",NA,"en","english","Depauville","44.1383847","-76.0654913"
"114591","TH","14","ADM1",-3252880,"tha","latin","Phetchabun","16.25","101.083333"
"122611","ZM","2","PPL",-2287253,"en","latin","Kabandula","-14.5","28.816667"
"66540","ID","30","ADM4",6373730,"ind","latin","Kawung Hilir","-6.854722","108.265556"
"153299","US","64","PPL",NA,"en","english","Nanpeinering","6.9336111","158.295"
"223610","US","36","PPL",NA,"en","english","Malone","44.8486596","-74.2948984"
"172336","US","20","PPL",NA,"en","english","Bronson","37.8958708","-95.0733077"
"243128","US","42","PPL",NA,"en","english","Mountain Dale","40.3367547","-76.8796956"
"168138","US","17","PPL",NA,"en","english","Riverwalk","41.5672222","-88.1955556"
"276782","US","51","PPL",NA,"en","english","Colonial Heights","36.9248694","-76.2460504"
"8776","CM","4","PPL",-3153224,"en","english","Mboua","5.883333","14.033333"
"51062","ID","30","PPLA4",11197476,"ind","latin","Sawahbaru","-7.4213","107.9964"
"68242","ID","30","ADM4",6371741,"ind","latin","Enggalwangi","-6.726944","108.318333"
"213133","US","37","PPL",NA,"en","english","White Oaks","35.2515028","-82.7145688"
"4331","AT","7","PPLA2",-1984216,"de","latin","Lienz","46.831111","12.759722"
"162140","US","19","PPL",NA,"en","english","Crab Town","42.1733472","-90.8059701"
