"","ISO.3166.1.country.code","FIPS.5.2.subdivision.code","GNS.FD","GNS.UFI","ISO.639.1.language.code","language.script","name","latitude","longitude"
"21939","FR","A1","PPL",-1454810,"fr","latin","Neuilly","47.279426","5.106452"
"153035","US","64","PPL",NA,"en","english","Meseiku","7.3308333","151.8369444"
"76213","JP","16","ADM2",-238810,"jpn","latin","Ninohe","40.237983","141.195761"
"207814","US","37","PPL",NA,"en","english","Hamptonville","36.0984684","-80.760345"
"148819","US","12","PPL",NA,"en","english","Sebastian","27.816415","-80.4706078"
"88054","NL","15","ADM2",-2143291,"nl","latin","Deventer","52.269266","6.237946"
"187108","US","24","PPL",NA,"en","english","Kent Cove","38.9737236","-76.3135664"
"37125","GY","12","PPL",-920095,"en","latin","Helena Number 1","6.678731","-57.934724"
"71196","ID","30","ADM3",11313981,"ind","latin","Langensari","-7.364409","108.632558"
"32675","GH","","PPL",-2071324,"en","latin","Bonsakrom","4.861037","-1.960205"
"133351","US","5","PPL",NA,"en","english","Thompson Grove","34.9475955","-90.3378758"
"191601","US","23","PPL",NA,"en","english","Grand Lake Stream","45.1795158","-67.7744459"
"178155","US","22","PPL",NA,"en","english","Holmwood","30.1260416","-93.0798749"
"33436","GH","","PPL",-2075601,"en","latin","Lantanni","10.216667","-.25"
"16375","FR","A7","PPL",-1408916,"fr","latin","Aubermesnil","49.843764","1.116759"
"55746","ID","7","ADM4",10157479,"ind","latin","Sunggingan","-6.8121","110.8339"
"241605","US","42","PPL",NA,"en","english","Wayland","41.6286661","-80.0692247"
"227569","US","36","PPL",NA,"en","english","North Le Roxy","43.005","-77.9805556"
"101302","SI","11","PPL",-96142,"sl","latin","Šmartno","46.294444","15.245833"
"108302","CH","10","PPLA",-2551047,"deu","latin","Appenzell","47.328914","9.410547"
"230441","US","39","PPL",NA,"en","english","Ebenezer","39.8422723","-84.6969003"
"260234","US","47","PPL",NA,"en","english","Mount Harmony","35.520352","-84.5049298"
"162728","US","16","PPL",NA,"en","english","Niter","42.5035319","-111.7307832"
"98314","PT","4","PPLA2",-2164952,"pt","latin","Fafe","41.454227","-8.167998"
"149766","US","12","PPL",NA,"en","english","Alaqua Lakes","28.75778","-81.38972"
"263921","US","48","PPL",NA,"en","english","Coushatta Village","30.27521","-94.7960361"
"78053","LA","26","ADM1",382284,"lo","latin","Xékong","15.5","107"
